1,Are any portions of the software used by another package? ,Yes,Yes,No,No,Unclear,Unclear,Unclear,Unclear,Unclear,Uclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
2,"Is there convincing evidence that reusability was considered in the design? (API documented, web service, command line tools, ¡­)",Yes,Yes,Yes,Yes,No,"Yes,API",No,No,No,No,Yes,"Yes,http://marine.rutgers.edu/~jevans/rslice/rslice/doc/html/ch06.html",No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No
,Overall impression (/10):,10,10,5,5,5,7,5,5,5,5,7,7,5,5,10,5,5,7,5,7,5,5,5,5,5,7,5,5,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Portability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,What platforms is the software advertised to work on?,"Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux, Mac OS",Linux,"Windows, Linux, Mac OS","Windows, Linux, Mac OS",Linux,"Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux, Mac OS","Windows, Linux, Mac OS",Linux,Linux,Linux,Linux,"Windows, Linux, Mac OS",Linux,Linux,Linux,Linux,Linux,Windows,"Windows, Linux, Mac OS",Linux,Linux,Linux,Linux
2,"If source code is available, how do they handle portability?  Branch in repository? Conditional compilation? Make file variables? Etc.",Branch in repository,Branch in repository,Branch in repository,Branch in repository,Branch in repository,No,No,Make file variable,No,No,No,No,Branch in different folder,No,Make file variables,No,Make file variables,Make file variables,Make file variables,Make file variable,Different Make file,No,Make file variables,Make file variables,No evidence of handling portability for current version,Branch in repository,No,Make file variables,Make file variable,Make file variable
3,Is portability explicitly identified as NOT being important?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,"Convincing evidence in their documentation that portability has been achieved?  (For instance they discuss dependency on internal bit representations, new lines and carriage returns, testing, etc.",Yes,Yes,Yes,Yes,"Yes,but not working well with windows",No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not for current version,Yes,No,No,Yes,Yes
,Overall impression (/10):,10,10,10,10,8,5,5,10,5,5,5,5,7,3,10,5,10,10,10,10,8,8,8,10,6,10,5,7,10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Surface) Understandability (of the code),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Judge understandability by looking at about 10 source files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Consistent indentation and formatting style?  (Check by selecting some random files and visually comparing.),Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mostly yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,"Explicit identification of a coding standard?  If there is a standard, what is it?",No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, Code convention documents",No,No,Developers Guide,No,http://dev.mitgcm.org/public/devel_HOWTO/devel_HOWTO.pdf,CICE Code Modifications,"Yes, see the developer guide",No,No,"Yes, See programmer mannual",No,No,No,"Yes,See code development doc and design description",No
3,"Does the code use identifiers that are consistent, distinctive, and meaningful?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mostly Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Are constants (other than 0 and 1) hard coded into the program?,Mostly Not,Mostly Not,Mostly Not,Yes,Mostly Not,Mostly Not,Mostly Not,Mostly Not,Mostly Not,Mostly Not,Mostly Not,Mostly Not,Mostly Not,Mostly Not,Mostly Not,Mostly Not,Mostly Not,Mostly Not,Mosyly Not,Mostly Not,No,Mostly Not,Mostly Not,Mostly Not,Mostly Not,No,Mostly Not,Mostly Not,Mostly Not,Mostly Not
5,"Comments : Proper comments written to indicate clear intent of what is being done, not how?",No,No,Yes,Yes,Yes,Yes,Mostly Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Some,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
6,"For the sample files selected, is name/URL of any algorithm used mentioned?",Few,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
7,Parameters are in the same order for all functions?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Is code modularized?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Unclear, cause only have partial source code",Yes,Yes,Yes,Yes
9,Descriptive names of source code files?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Is a design document provided? (yes or no),Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"Yes, http://mpas-dev.github.io/files/documents/mpas_ddt_redesign.pdf",No,Yes,No,No,No,No,No,Yes,No,No,Yes,No
,Overall impression (/10):,7,6,8,6,6,9,6,7,8,8,8,7,7,8,8,7,7,9,7,8,9,7.5,7,7,8,7,7,7,8,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interoperability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,What (if any) external systems does the software communicate or interoperate with?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Unclear,Unclear,No,No,Unclear,No,No,No,No,"Yes, can import remote file",No,No,No,No
2,Is there a workflow that uses other software?,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Unclear,Yes,No,Unclear,Yes,No,No,"Yes, plugin software",No,Yes,"Yes,MOM",No,Yes
3,If there are external interactions are the interfaces (API) clearly defined?,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,Overall impression (/10):,7,3,7,7,1,3,1,1,1,1,1,1,1,1,7,1,4,1,3,1,1,3,1,1,3,3,3,4,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Visibility/Transparency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Is the development process defined?  If yes, what process is used.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, continuous integration","Yes, http://mpas-dev.github.io/files/documents/mpas_ddt_redesign.pdf",No,"Yes, http://dev.mitgcm.org/public/devel_HOWTO/devel_HOWTO.pdf",http://oceans11.lanl.gov/drupal/CICE/Code-Modifications,No,No,No,No,No,No,No,No,No
2,Ease of external examination relative to the average of the other products being considered? (number between 1 and 10),10,8,8,8,8,9,8,8,9,8,7,7,8,8,8,7,8,9,7,9,7,8,8,7,8,7,8,7,8,8
,Overall impression (/10):,9,7,7,7,7,8,7,7,8,7,6,6,7,7,7,6,9,10,6,10,8,7,7,6,7,6,7,6,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reproducibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"There is a record of the environment used for their development and testing, including OS, libraries and version numbers?",Only for testing,"Yes, testing","Yes, testing","Yes, testing",No,No,No,No,No,No,No,"Yes,but not very detailed",No,No,Only for testing,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
2,Is test data available for verification?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3,What (if any) automated tools are used to capture experimental context? (Madagascar? Virtual machine? Etc?),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes,test scripts",No,No,No,No,No,No,No,No,No,No
,Overall impression (/10):,4,4,4,4,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall subjective grade on software (F, D, C, B or A):",A,A-,A-,A,B-,A,B,B,A,B,A-,B,A-,B,A,C,A-,A-,B,A,B,B,A-,B,A,A-,B,B+,B+,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AHP pair wise comparisons done separately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
